# Density(g/cm^3) Pressure(dyn/cm^2) cs2
4.040978e+12 6.295877e+30 nan
4.065080e+12 6.342207e+30 nan
4.089325e+12 6.388906e+30 nan
4.113715e+12 6.435976e+30 nan
4.138251e+12 6.483422e+30 nan
4.162933e+12 6.531245e+30 nan
4.187762e+12 6.579448e+30 nan
4.212739e+12 6.628036e+30 nan
4.237865e+12 6.677010e+30 nan
4.263141e+12 6.726374e+30 nan
4.288568e+12 6.776131e+30 nan
4.314147e+12 6.826284e+30 nan
4.339878e+12 6.876836e+30 nan
4.365762e+12 6.927791e+30 nan
4.391801e+12 6.979151e+30 nan
4.417995e+12 7.030920e+30 nan
4.444345e+12 7.083102e+30 nan
4.470853e+12 7.135698e+30 nan
4.497519e+12 7.188714e+30 nan
4.524343e+12 7.242151e+30 nan
4.551328e+12 7.296014e+30 nan
4.578474e+12 7.350305e+30 nan
4.605781e+12 7.405029e+30 nan
4.633252e+12 7.460188e+30 nan
4.660886e+12 7.515786e+30 nan
4.688685e+12 7.571827e+30 nan
4.716650e+12 7.628314e+30 nan
4.744781e+12 7.685251e+30 nan
4.773081e+12 7.742641e+30 nan
4.801549e+12 7.800488e+30 nan
4.830187e+12 7.858795e+30 nan
4.858996e+12 7.917567e+30 nan
4.887977e+12 7.976806e+30 nan
4.917130e+12 8.036517e+30 nan
4.946458e+12 8.096703e+30 nan
4.975960e+12 8.157368e+30 nan
5.005638e+12 8.218516e+30 nan
5.035494e+12 8.280151e+30 nan
5.065527e+12 8.342277e+30 nan
5.095739e+12 8.404897e+30 nan
5.126132e+12 8.468015e+30 nan
5.156706e+12 8.531636e+30 nan
5.187462e+12 8.595764e+30 nan
5.218402e+12 8.660402e+30 nan
5.249526e+12 8.725554e+30 nan
5.280836e+12 8.791226e+30 nan
5.312333e+12 8.857419e+30 nan
5.344017e+12 8.924140e+30 nan
5.375891e+12 8.991392e+30 nan
5.407955e+12 9.059179e+30 nan
5.440209e+12 9.127506e+30 nan
5.472657e+12 9.196377e+30 nan
5.505297e+12 9.265796e+30 nan
5.538133e+12 9.335768e+30 nan
5.571164e+12 9.406296e+30 nan
5.604392e+12 9.477386e+30 nan
5.637819e+12 9.549042e+30 nan
5.671445e+12 9.621269e+30 nan
5.705271e+12 9.694070e+30 nan
5.739299e+12 9.767451e+30 nan
5.773530e+12 9.841416e+30 nan
5.807965e+12 9.915970e+30 nan
5.842606e+12 9.991117e+30 nan
5.877453e+12 1.006686e+31 nan
5.912508e+12 1.014321e+31 nan
5.947773e+12 1.022017e+31 nan
5.983247e+12 1.029774e+31 nan
6.018933e+12 1.037592e+31 nan
6.054832e+12 1.045473e+31 nan
6.090945e+12 1.053417e+31 nan
6.127274e+12 1.061423e+31 nan
6.163819e+12 1.069494e+31 nan
6.200582e+12 1.077629e+31 nan
6.237564e+12 1.085828e+31 nan
6.274767e+12 1.094093e+31 nan
6.312192e+12 1.102424e+31 nan
6.349840e+12 1.110821e+31 nan
6.387712e+12 1.119285e+31 nan
6.425811e+12 1.127816e+31 nan
6.464136e+12 1.136415e+31 nan
6.502691e+12 1.145082e+31 nan
6.541475e+12 1.153819e+31 nan
6.580490e+12 1.162625e+31 nan
6.619739e+12 1.171501e+31 nan
6.659221e+12 1.180448e+31 nan
6.698939e+12 1.189466e+31 nan
6.738893e+12 1.198556e+31 nan
6.779086e+12 1.207718e+31 nan
6.819519e+12 1.216953e+31 nan
6.860193e+12 1.226262e+31 nan
6.901110e+12 1.235644e+31 nan
6.942270e+12 1.245102e+31 nan
6.983676e+12 1.254635e+31 nan
7.025329e+12 1.264243e+31 nan
7.067230e+12 1.273928e+31 nan
7.109382e+12 1.283690e+31 nan
7.151784e+12 1.293530e+31 nan
7.194440e+12 1.303449e+31 nan
7.237350e+12 1.313446e+31 nan
7.280516e+12 1.323522e+31 nan
7.323939e+12 1.333679e+31 nan
7.367622e+12 1.343917e+31 nan
7.411565e+12 1.354237e+31 nan
7.455770e+12 1.364638e+31 nan
7.500239e+12 1.375122e+31 nan
7.544972e+12 1.385690e+31 nan
7.589973e+12 1.396342e+31 nan
7.635242e+12 1.407078e+31 nan
7.680781e+12 1.417900e+31 nan
7.726592e+12 1.428809e+31 nan
7.772676e+12 1.439804e+31 nan
7.819035e+12 1.450886e+31 nan
7.865670e+12 1.462057e+31 nan
7.912584e+12 1.473317e+31 nan
7.959777e+12 1.484666e+31 nan
8.007252e+12 1.496106e+31 nan
8.055010e+12 1.507637e+31 nan
8.103052e+12 1.519259e+31 nan
8.151382e+12 1.530975e+31 nan
8.199999e+12 1.542783e+31 nan
8.248907e+12 1.554685e+31 nan
8.298106e+12 1.566682e+31 nan
8.347599e+12 1.578775e+31 nan
8.397387e+12 1.590964e+31 nan
8.447471e+12 1.603250e+31 nan
8.497855e+12 1.615633e+31 nan
8.548539e+12 1.628116e+31 nan
8.599525e+12 1.640697e+31 nan
8.650816e+12 1.653379e+31 nan
8.702412e+12 1.666162e+31 nan
8.754316e+12 1.679046e+31 nan
8.806530e+12 1.692033e+31 nan
8.859055e+12 1.705124e+31 nan
8.911893e+12 1.718318e+31 nan
8.965047e+12 1.731618e+31 nan
9.018517e+12 1.745024e+31 nan
9.072307e+12 1.758536e+31 nan
9.126417e+12 1.772156e+31 nan
9.180850e+12 1.785884e+31 nan
9.235607e+12 1.799721e+31 nan
9.290692e+12 1.813669e+31 nan
9.346104e+12 1.827728e+31 nan
9.401848e+12 1.841898e+31 nan
9.457923e+12 1.856182e+31 nan
9.514334e+12 1.870579e+31 nan
9.571080e+12 1.885091e+31 nan
9.628165e+12 1.899718e+31 nan
9.685591e+12 1.914461e+31 nan
9.743359e+12 1.929323e+31 nan
9.801472e+12 1.944302e+31 nan
9.859931e+12 1.959400e+31 nan
9.918739e+12 1.974619e+31 nan
9.977898e+12 1.989959e+31 nan
1.003741e+13 2.005421e+31 nan
1.009728e+13 2.021006e+31 nan
1.015750e+13 2.036715e+31 nan
1.021808e+13 2.052550e+31 nan
1.027903e+13 2.068510e+31 nan
1.034033e+13 2.084597e+31 nan
1.040201e+13 2.100813e+31 nan
1.046405e+13 2.117157e+31 nan
1.052646e+13 2.133632e+31 nan
1.058924e+13 2.150237e+31 nan
1.065240e+13 2.166975e+31 nan
1.071593e+13 2.183846e+31 nan
1.077985e+13 2.200852e+31 nan
1.084414e+13 2.217993e+31 nan
1.090882e+13 2.235270e+31 nan
1.097388e+13 2.252685e+31 nan
